label,evaluation
1,宝贝收到了，顺丰快递真的不一般，料子也非常，店家服务态度很好，店家推荐的尺寸也合适，直筒穿着更舒服，非常满意的一次购物，期待下一次的购物。
1,换的大号 还不错 大小合适了
1,客服的服务态度很好！物流速度很快，商品价格也挺实惠的，而且质量不错！卖家还送了小礼物，非常感谢！下次还会光临本店铺的！
1,挺好的，几十块钱买这样的衣服不错了
0,差评和图片看起来差远了大裤脚掉色*本想一分钱一分货不直！
1,样式不错，面料手感挺好，穿上很舒服，挺满意的
0,物流时间太长。
1,很快就收到了。质量不错，摸着手感很好
1,花花公子牛仔性价比很高，超喜欢。
0,差到极点，忽悠吧
1,面料不错 穿上很舒服 大小合适 老公很喜欢
0,一般般，将就点穿
0,不是正品，有种被骗的感觉！也就*的地滩货！
1,已经买的第三条了，很休身，码子标准，很暖和，穿着很舒服，值的购买
1,面料有弹性，透气还好，挺不错。。、。
1,裤子稍微长了点，质量不错，卖家态度很好，物流很快，总体不错
1,价格很优惠，服务也很好，东西不错，哈哈.........
1,宝贝收到了，质量挺好的！价格也适宜，真是物美价廉，店家的服务态度好，裤子也是很潮的哟，喜欢的快下手哦！
1,店家老板服务很好，裤子质量真心不错，物流快递很是给力，很满意的一次购物
1,穿上很暖和，还是比较满意的。
1,质量不错，没有色差，很舒服的
1,满意的白体恤，就是有点薄，容易露dian，羞羞哒
1,宝贝收到了，穿上很舒服弹力很好，物美价廉超值！很满意！
1,真的很好，实惠，舒服，好看    很合我意
1,裤子不错，大小合适，很喜欢。
0,特么的，就是垃圾
1,衣服质量不错，不脱色，穿起来很舒服，商家服务太好了
1,裤子昨天就收到了，今天特意洗了一下才来评论。裤子质量不错，不掉色，结实。老公说穿着很舒服，没有线头问题。老公稍稍有点瘦，所以穿这个码是可以的。
0,一起买的三条，这条尺码发错了。
1,裤子很不错啊，穿上显得超级有气质，而且质量也很好，比我之前买的牛仔裤手感好很多，不经常给好评的，强烈推荐啊
1,东西不错，卖家也很风趣。下次还来～
1,一，饿死今天收到货啦，真的好漂亮啊，我老公很喜欢，价钱也很便宜，那天冷的时候我再帮她买两条裤子真的很好谢谢你们，酒量也很好，哲理啊，漂亮哈
1,按照推荐尺寸，完全偏大。给老爸穿了。
1,穿上很舒服.老公很喜欢.还可以.
1,质量不错，但是尺码偏小，商品介绍是120～140斤可以穿但是我才130斤穿在身上有点小，不想退了，说给别人了。
0,颜色太深，有点像假货，下次再也不来了！
1,质量很好，面料不错，样式很好看
1,第三次买他家裤子了。质量一如既往的好。 不褪色不缩水。裤裤面料 做工都很不错 裤型也很漂亮 很满意。尺寸非常合适。穿着也舒服。店家服务态度好物流也快。以后就他家买裤子了
0,物流太慢，订单下了第三天才发货，催不动商家，一分是给京东的
1,裤子非常好看，穿的也非常有型，发货也很快，给弟弟买的，他非常非常喜欢，让我下次还给他买。
0,裤脚太大，一点都不修身。穿起来好宽松。腰围合适。
1,东西到了物流挺快的 打开看质量不错 也有没色差，和图片上一样真心不错！
0,差 差 差 特差钱付了 没收到货 也不退款 名位亲们千万别在这家买
1,有史以来我买过布料最有弹性的牛仔裤，不过试穿了之后发现真的很紧身哈哈哈，我是不是应该买33的
1,东西还不错啦 挺好的 感觉是物美价廉 挺不错的
0,掉色掉的厉害，洗一次就花了
1,穿着舒适，颜色很搭配，花花公子老牌子，商家服务态度很好
1,穿上很舒服的，质量不错是正品，老板发货很快的，没有色差，好评。
1,收到宝贝非常满意，和卖家描述一致，质量不错，做工精细，尺码合适，款式漂亮
1,宝贝收到了，很不错，质量杠杠的，重点是裤型很好看，下次还会光顾的
1,东西质量特别好，穿上感觉也不错，弹性也OK，跟商家介绍的都一致，评价必须满分
1,"质量不错,大小合适,穿上很舒服."
1,裤子收到试穿了一下，大小合适，质量也好，准备再买一条。
0,不好，实物和图上的不一样，刚买就有掉线，起毛
1,裤子质量真是好到爆，不敢相信这么便宜的裤子居然这么便宜，穿着特别合身，裤子很透气并且穿着会有一种很舒服的感觉，还会再次光临的。
0,版型还比较好看，就是材料和做工太差，很多线头，还有小的破洞，买回来还有一些黑色的不知道是什么洗不掉
1,买的是黑色，来的是深蓝，算了，不换了
1,"颜色不错,我很喜欢,大小刚刚好,好评"
1,物流挺快的 质量不错 挺满意的
1,裤子很不错哟，朋友很喜欢，版型很好，码数刚刚好。下次会继续在这里买的，而且会推荐更多的人买，哈哈哈。
1,裤子真心不错，穿着很舒适，一开始还怕买的尺寸不对，收到货试了试就把这个担心撤销了，帅气，给卖家赞一个
1,裤子质量很好，穿着很舒服.不掉色。物流也很快，下次继续购买。
1,之前在木宝买过花花公子的裤子，质量可以价格有点小贵！这次刚好刚好赶上京东秒杀，提前选好，放入购物车了！设置好了提醒！秒杀成功！物流稍微慢了一点，应该是中间清明节的原因吧！手感挺好，期待在穿上之后的感觉！
1,质感不错，感觉用料还是可以的，这个价格能达到这种品质，确实性价比非常高了！
1,颜色有点奇怪，不信大家看。但是性价比还是很高的。
0,衣服还可以，就是上面破了个洞
1,宝贝不错 穿着合体 卖家服务态度好 发货快 好评
1,不错，，去年买的一条还在穿。好
1,质量不错 款式也好看 非常喜欢
0,不好！质量问题！
1,衣服真的好，质量不错，跟图片一样，没色差，做工很好，很满意的一次购物，以后还会光顾。
1,给男朋友买的裤子，到了，就让他试一下，真的很不错，质量好，而且无色差！很棒哦~
1,我是第二次购物了，质量没的说。
1,裤子质量不错，货真价实，和店家介绍的基本相符，大小合适，样式也很满意，穿上裤子走路感到很轻便，舒服
1,就喜欢你们家的衣服！！么么哒
1,牛仔裤质量挺不错的，弹力很好，穿着挺暖和挺舒服的
0,买了几天.裤子线都松了.哎
1,质量很好，发货快。京东不错的选择。。还有优惠
1,裤子挺不错的，基本上我家人穿的裤子都让这家店铺承包了，足见其裤子质量好的没话说！
1,发货速度慢，17号下午下的单。21号中午收到货。裤子感觉是别人穿过的。纽扣的那个是剪开的。
1,第三次购买了，给朋友推荐的，大家都认为在家货物美价廉
1,穿上很舒服款式也不错，价位也好，很好的
1,裤子很合适，老公穿着也舒服，很不错的，喜欢的亲赶快行动吧，
0,质量有点问题容易爆线
1,质量不错，材质好，面料摸着舒服，做工很棒，尺码准确，穿着刚好而且很舒适。卖家服务态度也非常的好，赞一下！
1,颜色也正，质量没问题，喜欢的亲赶快购买吧
1,东西，裤子收到了，试了一下，还合身，嗯，挺不错的，谢谢
1,裤子很好的，挺满意的，尺码正合身，面料也不错，给老爸买的，老爸很满意。
1,钱打过去啦，连商品都没有。我买的东西在哪里？***，你快过去一个礼拜了。
1,质量不错 版型好看 穿上很舒服！
1,很不错，大小也很合适，客服也很好
0,尺码偏大，质量一般
1,衣服收到，质量非常的好，做工精细穿着舒服，看着面料就像一百多买的好评
1,裤子质量很好，物流很快，以后会多多光顾你的宝贝的
1,老公很喜欢。质量也不错，很暖和。客服推荐的码数很合适，
1,很喜欢，很满意，下次我还会再来的，不会掉色，质量很不错的
1,穿上很舒服 大小合适 面料不错小合适 面料不错
1,质量很好，手感也不错，老公很喜欢
1,裤子收到啦！非常好，料子也特别棒。穿在身上也特别地舒服，舒适，是一次非常满意的购物。
0,买了这条裤子，对网购失去信心了。
1,卖家服务态度很好，裤子质量很好，，已经是第二次买这家店铺的衣服了。喜欢这条裤子，布料好，穿起来挺好看
1,物流很快，客服很好，衣服收到了，还想再买一件，质量很好，喜欢的快下手
1,"挺好的，穿1,2个冬天还是没问题的"
0,差差差！！！！
0,不太好跟上面的不一样
1,还可以吧，有弹性，穿着很舒服，就是不是京东快递，略慢
1,第二件了，衣服的做工和质量很好，稍微有点薄了。
1,36 没有气味 还可以对得起价格 很好的弹性 服务很到位很不错
1,很喜欢 家人都说好看 手感很好 客服推荐的号码很合适 快递也很给力 总之满意 愉快的一次购物 5分好评是必须的 很好
1,买3免1抢的，非常划算，质量还可以
1,裤子好看，给男朋友买的，他也很喜欢说我眼光不错。
1,质感不错，刚到就试穿了，值得购买
1,衣服是正品，很合身，也很暖和，值的
1,衣服很不错，质量好，穿上很舒服。
0,这个与图片相差不是一点点大，真是有点失望
1,穿着挺舒服的，夏天穿正好，建议买偏小一码的
1,"弹力不错,穿着舒服,质量过关,好评"
1,裤子质量不错 发货速度也挺快的 客服态度很好
1,非常好的卖家，很热情啊，下次还会来的~ 宝贝很不错！
1,宝贝收到了，手感很不错，质量杠杠的，穿这很舒服，多的话就不多说了，5分好评。
1,还行...串着还挺舒服的，是纯面的
1,质量很好，做工扎实，大小合适，颜色跟图片描述一样没有色差，穿起来舒服，很满意。
1,弹性效果：收到裤子，一打个首先包装很规整，拆包之后我等一个就是看口袋的布料的材质，质量不错，先赞一个。然后上身试穿，版型很好，修身，合身，长度也合适，在赞一个
1,迟来的评价，宝贝不错！穿在老公身上身材显瘦杠杠滴，尺码挺准29码的，物超所值。这款型很好，狠修身穿的也很舒服，老公也很满意！在您家店里又看中夏款已经加入购物车，会关注您家的店！
1,衣服质量不错，老公很喜欢，质量不错
1,"质量不错,很修身,不适合胖一点的人穿"
1,很不错，质量很好，上身效果很不错很喜欢。搭衣服也好搭。
1,挺好的，纯棉的，穿上挺舒服的！
1,东西便宜就不说了 态度也好，谢谢老板
1,款式还不错，大小也合身，质量一般般，一分钱一分货，快递速度也很快，值得购买。
1,裤子很好 质量非常好 穿着很舒服 合身 色差没有 太值了
0,最差的一次购物，服务差，发货慢，质量差。发个货都耽误5天，购买者慎重
1,Good! 不错哈！以后再来！
1,宝贝收到了老公非常喜欢，穿上也挺帅的，质量特别好，价格也美丽
1,裤子质量非常好，有弹力，版型好看，男朋友穿起来显得特别帅气，身边的朋友都夸赞这条裤子，下次再来帮衬！！！
1,好多年以前买过这个牌子的衣服，感觉质量不错，所以这次买几件试试，穿上还是比较舒服的，价格比较实惠，版型也非常适合。不错。
1,大小合适，面料也挺舒服的，好评
1,裤子质量很好，上身效果不错，手感很好，穿上很帅气，以后还会光顾
1,"款式和质量都很好，老公很喜欢，质量还蛮好的,颜色也很正，确实很不错"
1,很舒适，尺码合适，洗了一次，不掉色，很愉快的一次购物
1,裤子真的非常好，首先版型很喜欢，其次又有弹性简单大方的，重点是质量不错，没有异味。穿着很有型。颜色也是我想要的。快递很给力。值得拥有
0,买两件图片一深蓝一浅蓝收前货，惊喜出现了西件一模一样的颜色。。。。。无语
1,衣服挺好的，就是我们这网点那个人态度特别特别不好，就是不知道怎么投诉。
1,"棉质丅裇，质量不错。    本人身高176cm,体重67公斤，我买了L号，试穿刚好，洗后修身。个人建议买XL号的，更舒适些。"
1,一直想给老爸买条大气好看又舒适的裤子，抱着好奇的心态买了这条休闲裤，果然没让我失望，衬托出我爸的大长腿，hiahiahia，老爸穿上它到处串门显摆，可神气了，大家也都说好看，良心好评
1,收到后觉得没有色差，质量也还好，挺满意的，给全评。
1,物流很快。裤子没有色差，质量不错
1,宝贝收到了，很喜欢，试穿了一下穿着刚好，很满意
1,物流很快，穿起来也很帅，给店家满分，不怕他骄傲
0,非常不满意……说的是Lee正品……来的一个冒牌的……我要的是九分破洞的……和图片应该一样……结果……色差也太严重了吧……我要的模特身上穿的这样的……结果发过来时这样的……再京东买了这么多次……头一次碰到这么奇葩的……够劲啦……
1,这裤子非常好，性价比之类的都特别好，穿着非常的非常的舒服，货比三家，绝对是物超所值，下次还会来这家购买，对这次购物非常满意
0,这个牌子的买了两条，同样尺寸的裤子，这条的腰围确大了很多，而且拉链不好用，质量不靠谱。
1,这条裤子真的很棒，很舒服，很修身！推荐大家买哦！?
1,好好，正品估工精细，值得购买，
1,穿着很舒服，很修身，大小也很合适，很满意的一次购物。
1,质量挺好的。纯棉的。值得一购。小伙伴们可以放心购买穿戴！
1,当我拿到快递的时候都快要惊呆了，快递速度怎么这么快，服务还这么好！！最主要的是衣服质量特别好，很满意，呵呵！！
1,裤子收到，质量不错版型很好，发货速度，很是喜欢，收藏店铺了以后还会光顾的，值5分
1,哇！裤子真的是太棒了，点32个赞，给男朋友买的，太适合了，而且质量很棒，要买的快下手吧！
0,质量不对货不说，码数小了想换个大码的都不行。。。。
1,裤子刚到就洗了，没有之前买裤子那种褪色，摸起来感觉质量也可以，这个价格确实不错，下次继续来买，必须好评
1,质量不错，大小合适，穿着很舒服
1,料子非常好，好看，修身款。穿上去非常好看，价格便宜。快递态度非常好，很敬业，服务态度也非常好。质量非常不错，穿上很舒服。
1,不错不错喜欢喜欢，一下子买了三件
0,快递太慢，服务不咋滴，差评！
0,掉色太厉害，差评！！！！！！！！
1,裤子收到，3免一中最快收到的一件，裤子厚实，内绒非常厚实柔软，只是还没穿，不知肥瘦是不是合适。
0,不是棉的，卖棉的价格，跟纸一样！
0,掉色，买2条，裤头都不一样大，既然还是同码的，cao
1,衣服挺好的 是正品，纯棉的。
1,很喜欢，衣服很不错，下次还会再来光顾的。
1,快递包裹的很好，裤子也非常棒，面料版型什么的也很不错，很满意的一次购物经历，会回购的。
0,没穿多久就有洞了，质量很不满意
1,裤子质量非常好，卖家客服也很好，非常满意的一定购物，祝生意兴隆，以后还会经常光顾的。
1,颜色不错 质量不错衣服不错，大小刚合适，质量很好，穿起来帅帅的
1,其他的都很好 就是我买L买大了?
1,已经穿上了，感觉很舒服。物流也给力！质量很好！
1,不错噢，裤子质量棒棒哒值得购买，给别人买的。下次还来光顾
1,料子挺舒服的！ 有弹性 就是洗的时候脱色严重！
1,很帅气的裤子，男士选裤子犹豫的就选它吧，百搭裤子质量很好，朋友们，小伙伴们见到都说非常好，选裤子以后就来这家啦！
1,尺码准确，穿着舒适，结实耐用，做工细致。店家发货及时，物流不错。五星好评
1,可以，这是第二次买了，很值得
1,裤子收到了，裤子版型好，面料和做工都非常棒，服务态度很好，物流快。老公很习惯，下次还会来的哦。
1,质量不错，做工也挺细致，很满意
1,刚刚穿上，感觉还不错。这个价位还可以。
0,此商家态度态度极其差劲，我多次强调换货的的型号，结果还给我搞错，且发虚假的物流单！京东调解员介入竟然都无视的要求，且从未主动与我协商过
0,质量太差了！吃亏死了！穿不到一天就坏了！还修补成！建议别买~！
1,裤子穿着很舒服，很合身，而且不褪色，男士裤子这个价格买这种裤子，很值了！不错哦~
1,合身，要看对应型号的尺寸再买，不然会买错的！
1,刚收到裤子，跟网上介绍基本一致 ，质量可以，快递快服务好。
1,不错的裤子，很修身，不起球，以后还会再来的
1,穿上舒服，没有色差，做工很精细，面料不错不错
1,感觉一般般吧，没有预想的好有点怀疑是不是正品！
1,这个是给男朋友买的，他穿上的感觉真棒，颜色虽然要稍微浅了一些，但是还是可以接受的，因为他穿上来也挺好看的。嗯嗯以后还来买，买买买。
1,蛮好的，质量也不错，同事都说蛮好看的
1,这种裤子比较有弹性，也比较保暖，非常适合春季穿。而且搭配各种上衣都可以。对于这次的购物比较满意，也比较实惠，希望大家能多多照顾店家。
1,收到裤子后，我打开快递，一看成色简直惊呆了，简直是牛仔裤中的极品，话我就不多说了，好的一批
1,很久，不过是第一次下手。应该说还不错。 第二次来买了，货比我想像中要好！！老板人表扬下。。 包装看起来很好，包得很用心，相信货一定很好，谢谢了！
1,裤子收到了～很满意的一次购物，样式很好质量也OK，没有色差没有异味……穿着也衬人，?以后有机会还会再来的！！！！
1,裤子特别合适，穿上很有型，给老公买的特别喜欢，关注店铺了，以后还会多多来的
1,质量不错，版型好看，穿上很舒服！
1,这个裤子听舍友说很好哦，就想也买一个送哥哥，买回来自己先看了一下，太好了，很惊喜，觉得这个价格值了，这个生日礼物我会送得很满意
1,裤子物流非常快，质量很好，卖家服务态度也很好。好评！下次还会再来。
1,裤子版型和质量都非常好，码数也很正，厚薄适中，和图片比起来没有色差，物超所值。物流也很快，卖家态度很好。
1,尺码：衣服质量不错，穿起来很暖和 里面加一件内衣就好了 特别舒服 赞一个 良心卖家。
1,非常不错，穿着很舒服，也很合身，超值
1,快递速度一般，包装还行、衣服没有损坏，衣服挺柔软的，穿着舒服，尺寸也合适，就是有点短了。现在居然涨价了................
0,太差了，以后不会买了，懒得退
1,质量很好 料子不错 穿上很舒服 蛮暖和的
1,写下购买体会和使用感受来帮助其他小伙伴评价大于二十元的商品超过十个字，就有机会获得金豆。
0,不好，一点都不好。衣服太厚了，像冬天穿的
1,颜色不错，大小合适，面料很好
0,这是网购真的很失望，简直就是骗人。跟本就不一样的货，大家不要买，不知道京东怎么弄的，，会让这样的商家进来京东。对京东也失望了，，
0,实物与商标不符
1,非常舒服的纯棉T恤，虽然没有什么样式，不过我还是很喜欢
1,质量面料做工很不错，尺码合适，穿着很帅，满意
1,裤子质量很好，穿上很舒服，面料颜色也好看。
1,尺码合适，修身款，质量不错，价格更是比外面的价格实惠多了
1,裤子老公说不错，带弹力的比较舒服，裤型也是我想要的
1,裤子质量不错，最主要的是爸爸穿起来帅气，很舒适，他很喜欢。
1,南极人夹克衫不错哦，防风保暖
1,物美价廉，颜色不错喜欢深蓝色。那些说不好的还是去买2百多的吧！
0,实际货物比图片上的差远了，穿了一次之后再也没碰过。
0,没见过这么烂的服务和牛仔裤
1,弹性不错 料子很好，穿上很舒服 尺码合适 做工很好 店家服务态度真是让人有种上帝的感觉，热情又耐心，宝贝质量也是杠杠滴，穿着很舒服
1,已是该店的常客了，已买过多次，这次买了三条，产品值得信赖。颜色面料，做工版型都很不错。商家也很讲信用，经商之道信用为本，愿商家永保此道生意兴隆。
1,做活动，一下买了三条，第二次购买了，很好
1,质量很好，做工细，大小合适，穿着舒服，很喜欢的！
1,质量很好，料子不错，性价比很好
1,穿上以后感觉很舒服，大小合适。很满意
1,我喜欢这个牌子的衣服，大牌就是大牌质量好。多买几条
1,裤型很好，颜色很正，个人比较喜欢，卖家服务也很好，给满分好评。
1,东西很好拍了两件，对的起这价格就好了
1,从小到大都穿班尼路，面质舒服，大小刚好，再买2件
1,其实 花这个价位 真没想到能买到这种质量的宝贝 真的挺好的还会再光顾
1,宝贝收到了，物流很快。替同学买的。裤子质量很好，穿着挺合适的，有弹性，不是那种硬邦邦的。他喜欢，就是挺长的，可能是他腿太短了
1,好好好，非常好，非常合身，非常喜欢。没有色差，穿上去很舒服。不要把买的价格很实惠，希望商家多做类
1,宝贝收到了，裤子摸起来很舒服，质量很好，版型很漂亮，卖家推荐的尺码很准，服务态度好，很满意，下次再来光顾
1,什么都好就是没开洞，其他没的说
1,物超所值，衣服质量不错，样式简洁新颖时尚，穿在身上顿时自信满满，很满意的一次购物！
1,很不错的裤子，大小合适，客服态度也很好，物美价廉
1,反正我下次是再也不会买这家店里的东西了，99的裤子和119的裤子一模一样，最后给我说是发错货了补差价20块给我，无良黑心。
1,裤子非常合身，至于线头啥的都没有，之前还是担心，看到货后真的没得说了，很喜欢！一百个赞！
1,衣服很漂亮，质量不错，上身效果也好，值得购买
0,做人能不能诚信。以后该怎么做生意？
1,裤子的质量非常好，穿着很舒服，以后买裤子就来这家，便宜又实惠。
0,颜色很正没有色差的。和卖家描述的一样！
1,不错不错 好看 就是不太耐脏
1,买给老公的，穿上很舒服且又便宜
1,做工有瑕疵，不过价格也就这样了，将就穿一个冬季的伙伴可以搞……
1,裤子真的很不错，质量非常棒，是正品，下一次还会来这里买的，想买的不要犹豫了哦
1,大小合适，面料不错，尺码标准，穿上很舒服。
1,不错.是正品.质量很好.和别的店比起来算是便宜的
0,上当了，裤子是旧的口孔也剪开了，不知道是不是新闻里面报道的垃圾翻新的裤子，这种商品也拿来卖，希望大家不要上当了，而且标牌也没有在上面，打开包裹里面就一张不知道哪里搞来的小牌子，上面写还南极人，垃圾垃圾，垃圾
1,裤子质量不错，卖家推荐的尺码正好，面料穿着也舒服
0,退色严重，做工太差，给图上两回事
1,裤子质量是特别满意的，再加上不褪色，物流又特别快，穿着还挺舒服的，出乎了我的意料，没想到这个价格可以买到这种裤子呢。
1,裤子很好看，穿在身上既舒服又修身，物流速度很快，店家服务态度好，而且价格也不贵，很喜欢这家店的衣服，下次会再买的。
1,衣服手感不错，穿在身上也很舒服！卖家推荐的尺码大小很合适，颜色很正没有色差的。和卖家描述的一样！
1,一直关注店铺，因为产品质量真的很不错，连续购买好几次，买牛仔裤大家要看过来，真心觉得不错，才给大家推荐的哦
1,第二次买了，和第一次质量有差异
1,宝贝收到了 ，大小正合适，质量很好，价钱不贵，全五星，好评
0,什么垃圾衣服，买来一星期不到口袋全拖线，最差的一次购物
0,差评，超级差！啥破玩意儿，服务态度还不好，跟说的根本不符，大骗子！！！！
1,裤子很合身，质量不错不起皱。下水洗了，没有变形，很满意。
1,裤子质量很好，有弹性，穿着也很舒服，全五星好评！
1,很不错，发货也很及时，收货看了后感觉这个冬季可以好好浪一波了，穿着挺舒适的。
1,裤子的质量很好，很不错，挺喜欢的，而且款式和样式都很好，已经关注了店铺，还会再来的！！
1,包装很完美。衣服穿着大小很合适，穿一会感觉暖暖的，
1,不错哦，刚刚合适哦！老顾客，就是质量好，老板很好说话哦！
0,感觉质量不好，价格有点高。还有就是希望店家发货快一点，我下单了四天才出库，搞不懂！
0,有点薄 尺码不对 也不是棉的
1,"很好! 颜色没有差别, 图片跟实物无差别    质量也很好， 穿着也舒服还会再来的,"
0,清洗时严重掉色，    清洗后掉色严重，请慎重购买！
1,大小合适面料很好穿上很舒服 质量也很好
1,穿过才来评价，非常好，好评，纯棉的，用来打底最好，本人173com，体重118，刚刚好
1,裤子很不错 穿着很舒服 质量也好
1,你不错啊，有点小巧，很好，真维斯的裤子我是超级喜欢。我想你做的很不怎么地。
1,裤子质量很不错哦，摸着特别舒服，而且没有色差哦，超喜欢的呢，这个价钱值了，下次还会再来哦！
1,不好意思忘记评价了，裤子很完美。下单第二天就收到了，男朋友特别喜欢，都不相信这裤子这么便宜哈哈，赚到了。裤子质量很好。大小也合适，必须好评！！！
1,裤子质量可以，价格公道，版型也不错。
1,衣服很好，款式也特别好看，是我喜欢的颜色，客服服务态度很棒，也很感谢客服给我的建议，如果以后有需要我也会常来
1,裤子真的很有型，布料摸起来真的很舒服，搭配休闲鞋或皮鞋都不错。真是一次满意的购物体验，喜欢的朋友快点下手吧。。
1,衣服质量好，但是我老公穿可能有点长，不过没关系，好评！
1,裤子很好，质量太好了，手感不错，是纯棉的，颜色也没有色差，包装也非常高大上的感觉，太满意啦！
1,速度快，物流速度也不慢，真心不发货错，穿上很舒服，很喜欢
0,衣服太大了质量也不行
1,比较好的衣服，柔软亲肤像是全棉。
1,但愿质量不错，第一次买这个品牌。穿一段时间再来评价。
0,质量还好，但整体一般
0,建议不要买，穿上不舒服
1,挺好 形也不错 很喜欢 样式也不错 值得购买
1,衣服收到了，穿起来很舒服，手感也很好，大小也合适，很满意的一次购物，下次还会再来
1,不错的选择，和实体店一样一样的。下次还会继续光顾
1,这裤子比想象中的好的不能再好了。，比实体店的，都还要，完美，价格也非常的实惠。非常值得购买，赞赞赞。
1,只能说，男神必备啊，原谅我长得太帅，哈哈哈，裤子非常好
1,裤子质量很好，穿起来很舒服很合身，物流也很快哦，五星好评！！！
1,样式不错，大小合适，穿上很舒服
1,款式不错，大小合适，穿着很舒服，手感确实不错。店家服务态度也不错
0,衣服色差严重，货不对版，选的加厚但实际非常薄，还给我发错货！退货还要我垫邮费，真是拿自己的错误让别人给你承担后果。超级不满意的一次购物！！！！
1,穿上试了下，大小正合适，质量不错。非常满意，下次还来
0,颜色完全错了质量也差 拿到手上整个人都不好了
1,裤子很舒服，版型也挺好看，很好搭配衣服，穿着很好看，料子很舒服，买的挺宽松，物流也挺快，东西不错。
1,衣服质量没问题，穿上合身，喜欢。
1,颜色款式跟卖家描述的一样样的。面料做工都不错。
1,班尼路/Baleno夏男装 ，纯棉圆领短袖t恤男 ，小清新韩版潮流纯色体恤 01W漂白 L的，班尼路的衣服真的很不错，质量好好很柔软是纯棉的之前帮我我老公买了一件，他说穿的很舒服叫我帮他多买几件，这不我我又买了三件。
1,质量不错 面料很好 穿起来很舒服 不错 物流很快
1,这是我买的第2件了，质量没有问题，夏天穿还是感觉有点厚，我认为比较适合秋天穿。
0,质量一般，就是上面有个洞
1,质量不错，穿着很合适，值得购买
1,面料很柔软很舒服，重要的是价格还这么实惠！物流每次都超快，一如既往的支持喜爱！
1,非常不错非常不错非常不错非常的好
1,衣服质量好，穿上很好看，样式挺喜欢的，面料也不错
1,裤子收到了，颜色很正，质量也很不错，面料很厚实穿上不会紧绷
1,裤子质量不错的 价格还很划算啊
1,不好意思，过节忙，忘了评论了。好！很好！真的很好！
1,男票穿起来很舒服 码子也合适 价格也合适 因为毕竟现实生活中穿的裤子价格都差不多这个价格
1,非常滴好，170，126斤穿M
0,想买相当于***一件的硬塑料雨衣可以考虑下单，我不需要，已扔垃圾桶。
0,不怎么好。。
1,还不错，没色差，没异味，可以买的
1,挺好的，实物和图片一样的，一直穿这个牌子的。
1,衣服很满意 质量不错 穿上很舒服
1,很棒的一款短T，质量很好，贴身舒适不紧绷
1,收到的时候包装已经烂了 叫我如何是好？
1,穿起来还不错，一下子买了六件。
1,衣服不错 很满意质量挺好的 很满意料子摸着挺舒服的
1,裤子质量好穿着也很舒服 卖家服务态度相当好 物流是最给力的
1,裤子质量不错，主要是穿上舒服，不得不说客服态度很好，物流速度也很快，值得购买，很满意哦！
1,完美！！！！！    完美！！！！！
